[91m../../evaluator/evaluate.sh gefoltert-spaced-words.txt[39m
      3 hintern
      3 his
      3 hormonwerte
      3 if
      3 ihre
      3 ihrer
      3 immerhin
      3 individuals
      3 info
      3 informationen
      3 insiders
      3 interesting
      3 jahr
      3 je
      3 jedesmal
      3 jemanden
      3 juli
      3 justiz
      3 kalten
      3 kamera
      3 kaputt
      3 kind
      3 kindern
      3 kochfeld
      3 könnten
      3 kopfschutz
      3 körperstellen
      3 körperteile
      3 kosten
      3 lage
      3 laptop
      3 lärm
      3 lebensgefährlich
      3 leer
      3 let
      3 leukozyten
      3 liegen
      3 limited
      3 liste
      3 lka
      3 location
      3 look
      3 lot
      3 make
      3 manchmal
      3 means
      3 mentioned
      3 merkwürdigen
      3 meter
      3 michael
      3 microtesla
      3 mindcontrol
      3 missbrauch
      3 mobilfunk
      3 möglichen
      3 moved
      3 moves
      3 moving
      3 müll
      3 müsst
      3 nachbar
      3 netflix
      3 nett
      3 netterweise
      3 neuen
      3 never
      3 normalen
      3 normally
      3 oberkörper
      3 off
      3 ok
      3 ordnung
      3 Österreicher
      3 out
      3 papiertuch
      3 passiert
      3 pcs
      3 permanente
      3 perps
      3 photo
      3 pkws
      3 po
      3 pro
      3 rad
      3 reagieren
      3 recht
      3 rest
      3 rettungsschwimmer
      3 rost
      3 ruhe
      3 sagen
      3 sagt
      3 schaden
      3 schäden
      3 schicht
      3 schlafentzug
      3 schlechte
      3 schneider
      3 schriftlich
      3 schuld
      3 schützt
      3 see
      3 sehen
      3 seht
      3 seinen
      3 selben
      3 sexueller
      3 shape
      3 sichtbar
      3 signal
      3 sitzen
      3 skin
      3 sms
      3 sofa
      3 soviel
      3 sowohl
      3 spazierengehen
      3 staatsschutzmitarbeiter
      3 stadt
      3 streitkräfte
      3 supermarkt
      3 system
      3 tabak
      3 take
      3 tatsache
      3 taub
      3 teams
      3 technisch
      3 teil
      3 teilweise
      3 them
      3 thing
      3 total
      3 transport
      3 traurig
      3 treffen
      3 typische
      3 Überwachte
      3 Überwachter
      3 Überwachungsopfern
      3 unite
      3 untersuchen
      3 venusfalle
      3 verantwortlich
      3 verfärbungen
      3 vermeiden
      3 vielleicht
      3 wehren
      3 weiblichen
      3 weise
      3 wenigen
      3 what
      3 wichtige
      3 windows
      3 wirkt
      3 without
      3 wohnungen
      3 wollt
      3 worten
      3 would
      3 wunsch
      3 youtube
      3 zeugen
      3 zufällig
      3 zusammengeschossen
      3 zwar
      4 abstand
      4 acht
      4 achtet
      4 allem
      4 another
      4 apps
      4 arbeitet
      4 aufdrehen
      4 august
      4 außer
      4 because
      4 before
      4 beiden
      4 being
      4 belästigt
      4 bereich
      4 berührt
      4 bescheid
      4 besuch
      4 big
      4 bitte
      4 bringt
      4 car
      4 certain
      4 cia
      4 cm
      4 dabei
      4 danke
      4 darmstadt
      4 denken
      4 desired
      4 details
      4 diagnostiziert
      4 dienst
      4 diesmal
      4 dran
      4 drogen
      4 du
      4 echt
      4 eifelstraße
      4 einige
      4 electronic
      4 erklären
      4 erklärt
      4 erlauben
      4 eures
      4 exakt
      4 findet
      4 foltern
      4 gefühl
      4 gehirn
      4 gekostet
      4 geld
      4 gerät
      4 geräten
      4 geschützt
      4 gesicht
      4 gespannt
      4 gewachsener
      4 gezeigt
      4 gründen
      4 guten
      4 hätte
      4 hättet
      4 heraus
      4 hüfte
      4 indizien
      4 informiert
      4 install
      4 installed
      4 inzwischen
      4 its
      4 jedes
      4 jedoch
      4 just
      4 kaffee
      4 kam
      4 kontrollieren
      4 kostet
      4 krach
      4 krebsgeschwür
      4 lampe
      4 läuft
      4 lebensmittel
      4 leicht
      4 letzte
      4 manipulieren
      4 mann
      4 meistens
      4 menge
      4 might
      4 mikrowellenterror
      4 mindestens
      4 mm
      4 moment
      4 monitor
      4 more
      4 motor
      4 mp
      4 nachbarin
      4 nächsten
      4 nehmen
      4 nimmt
      4 normal
      4 normalerweise
      4 oberschenkel
      4 offenthal
      4 open
      4 orten
      4 p
      4 persönlich
      4 phone
      4 picture
      4 plasma
      4 plötzlich
      4 polizeipräsidiums
      4 psychophysischer
      4 reagiert
      4 restaurants
      4 rücken
      4 rund
      4 scheint
      4 schießt
      4 schließlich
      4 schmerz
      4 seiner
      4 sollten
      4 sonst
      4 sperma
      4 staub
      4 steht
      4 stelle
      4 stellt
      4 stück
      4 südosthessen
      4 supply
      4 tätig
      4 telefon
      4 tod
      4 trotz
      4 überall
      4 umständen
      4 unmöglich
      4 unser
      4 unterwegs
      4 v
      4 verbindung
      4 verfügung
      4 viel
      4 wärmebildkamera
      4 wegen
      4 weh
      4 weiss
      4 weiter
      4 zehn
      4 zones
      4 zusammen
      5 abs
      5 all
      5 alleine
      5 allen
      5 Ältere
      5 anus
      5 anzeigen
      5 art
      5 ärztliche
      5 attest
      5 aufgrund
      5 aufmerksam
      5 augen
      5 aussage
      5 außerdem
      5 belästigung
      5 below
      5 benutzen
      5 blaue
      5 brauchen
      5 clouds
      5 dagegen
      5 daran
      5 davor
      5 dezember
      5 dinge
      5 direkt
      5 donnerstag
      5 each
      5 ebay
      5 eben
      5 euro
      5 fallen
      5 fernseher
      5 festgestellt
      5 frauen
      5 ganze
      5 gehen
      5 gleichzeitig
      5 grund
      5 h
      5 hand
      5 head
      5 ihnen
      5 indem
      5 jahren
      5 juni
      5 kaufen
      5 kennzeichen
      5 knapp
      5 küche
      5 kurz
      5 lasst
      5 laufen
      5 licht
      5 makes
      5 matter
      5 meet
      5 mensch
      5 mg
      5 mittel
      5 musste
      5 müsste
      5 nachweisen
      5 nämlich
      5 neighbours
      5 not
      5 often
      5 partikel
      5 passieren
      5 pc
      5 place
      5 polizeilichen
      5 problem
      5 rattengift
      5 satellite
      5 schlafen
      5 sei
      5 seine
      5 selbstverständlich
      5 sex
      5 shirt
      5 single
      5 sitzt
      5 skalarwellen
      5 sky
      5 sonntag
      5 starken
      5 stehen
      5 überwachte
      5 Überwachungsopfer
      5 unbedingt
      5 up
      5 use
      5 verdächtig
      5 verletzen
      5 versucht
      5 very
      5 wahrscheinlich
      5 weder
      5 weg
      5 weibliche
      5 weiteren
      5 wenige
      5 wissen
      5 wohnungstür
      5 wollen
      5 work
      5 zeigen
      6 abgestellt
      6 abonnieren
      6 ag
      6 akzeptieren
      6 always
      6 artikeln
      6 atom
      6 ausschaltet
      6 awesome
      6 behauptet
      6 bekommt
      6 beliebteste
      6 benutzt
      6 besuchs
      6 bleibt
      6 blogger
      6 blogs
      6 blut
      6 build
      6 control
      6 design
      6 docdro
      6 drohnen
      6 dürfen
      6 eu
      6 eurem
      6 f
      6 falle
      6 folgendes
      6 folter
      6 führt
      6 funtioniert
      6 fuss
      6 generated
      6 gesagt
      6 hals
      6 handelt
      6 häufchen
      6 haut
      6 have
      6 hinter
      6 i
      6 ihrem
      6 iphone
      6 irgendetwas
      6 jede
      6 kern
      6 klar
      6 kleine
      6 konnte
      6 könnte
      6 körper
      6 krebs
      6 leisten
      6 mb
      6 meines
      6 mirowellen
      6 mittlerweile
      6 möchte
      6 mögliche
      6 monaten
      6 nacht
      6 nase
      6 neuere
      6 nonstop
      6 november
      6 only
      6 other
      6 personenbezogene
      6 power
      6 powered
      6 richtig
      6 schlaf
      6 schmerztabletten
      6 schutzstoff
      6 seite
      6 small
      6 sogar
      6 starke
      6 startseite
      6 stufen
      6 team
      6 these
      6 ti
      6 tumor
      6 überwachten
      6 unterbauch
      6 viele
      6 way
      6 webseite
      6 weitere
      6 weiterhin
      6 widersprechen
      6 wir
      6 wochenende
      6 würden
      6 zcqzwwz
      6 zeitraum
      7 after
      7 angeblich
      7 befindliche
      7 beliebte
      7 beschuss
      7 computer
      7 dadurch
      7 damit
      7 eigenen
      7 english
      7 erst
      7 erwischt
      7 etc
      7 frau
      7 ganzen
      7 genau
      7 genügt
      7 gerne
      7 glauben
      7 grade
      7 https
      7 id
      7 ihres
      7 insider
      7 irgendwo
      7 jeden
      7 jeder
      7 kaum
      7 keinen
      7 kühlschrank
      7 language
      7 milligaus
      7 neues
      7 possible
      7 same
      7 schiessen
      7 sieht
      7 solche
      7 solltet
      7 sowie
      7 staatsschutzes
      7 überwachen
      7 Überwachungsgeräten
      7 Überwachungsgerätes
      7 unten
      7 verhaftung
      7 verletzt
      7 vier
      7 warnt
      7 weniger
      7 wichtig
      7 zerstört
      8 about
      8 abschirmstoff
      8 any
      8 arbeit
      8 bin
      8 brust
      8 darüber
      8 daß
      8 denen
      8 device
      8 dusche
      8 eigentlich
      8 einbruch
      8 equipment
      8 fast
      8 flecken
      8 form
      8 gefunden
      8 generell
      8 handies
      8 herr
      8 ihren
      8 inside
      8 jedem
      8 jemand
      8 leiter
      8 mai
      8 miesen
      8 montag
      8 morgens
      8 müssen
      8 neben
      8 no
      8 nun
      8 oben
      8 obwohl
      8 one
      8 pulver
      8 sechs
      8 september
      8 shoot
      8 sobald
      8 sofort
      8 staatsanwaltschaft
      8 staatsbeschützer
      8 their
      8 thema
      8 time
      8 tut
      8 Überwachern
      8 übrigens
      8 völlig
      8 vorsicht
      8 waffen
      8 wäre
      8 waren
      8 when
      8 z
      9 bauch
      9 beschossen
      9 blau
      9 c
      9 case
      9 com
      9 dafür
      9 danach
      9 ebenfalls
      9 herren
      9 insgesamt
      9 lässt
      9 macht
      9 mutter
      9 nie
      9 oktober
      9 really
      9 situation
      9 sollte
      9 stoff
      9 tage
      9 there
      9 through
      9 torture
      9 tricks
      9 vergiften
      9 verursacht
      9 wieso
      9 worden
     10 alles
     10 andere
     10 anscheinend
     10 as
     10 besser
     10 doch
     10 falls
     10 hause
     10 individual
     10 innerhalb
     10 ins
     10 komplett
     10 kopf
     10 leben
     10 minuten
     10 nichts
     10 schutz
     10 soll
     10 they
     10 tun
     10 uv
     10 videos
     10 wave
     10 where
     10 witz
     10 würde
     10 www
     10 zeigt
     11 android
     11 beispiel
     11 besonders
     11 bestrahlt
     11 darf
     11 extrem
     11 füsse
     11 geht
     11 gemacht
     11 gestern
     11 haus
     11 internet
     11 into
     11 lediglich
     11 mittwoch
     11 möglich
     11 natürlich
     11 personen
     11 schmutz
     11 sekunden
     11 später
     11 tagen
     11 verfassungsschutz
     11 welche
     11 wer
     11 werde
     11 works
     12 d
     12 euren
     12 example
     12 gibt
     12 like
     12 oft
     12 opfer
     12 particles
     12 pdf
     12 täglich
